Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,Team,Deleted,Season,Race
VER,120.179,1.0,1.0,,49.276,35.061,MEDIUM,Red Bull Racing,False,2023,Japan
ALB,110.368,1.0,1.0,,43.178,34.458,MEDIUM,Williams,False,2023,United States
TSU,94.83,1.0,1.0,,32.979,24.556,SOFT,AlphaTauri,False,2023,Hungary
STR,104.67,1.0,1.0,,44.143,24.609,SOFT,Aston Martin,False,2023,Bahrain
ZHO,118.785,1.0,1.0,,44.973,40.522,SOFT,Alfa Romeo,False,2023,Monaco
ZHO,95.194,1.0,1.0,,32.414,29.962,MEDIUM,Alfa Romeo,False,2023,Italy
RIC,109.807,1.0,1.0,,42.448,34.937,MEDIUM,AlphaTauri,False,2023,United States
RUS,102.662,1.0,1.0,,43.377,24.168,SOFT,Mercedes,False,2023,Bahrain
DEV,119.887,1.0,1.0,,19.23,59.997,HARD,AlphaTauri,False,2023,Australia
PER,97.745,1.0,1.0,,39.841,34.742,MEDIUM,Red Bull Racing,False,2023,Abu Dhabi
ALO,107.377,1.0,1.0,,44.826,28.449,MEDIUM,Aston Martin,False,2023,Singapore
ALB,94.276,1.0,1.0,,29.096,31.301,SOFT,Williams,False,2023,Netherlands
RIC,88.847,1.0,1.0,,33.806,21.341,MEDIUM,AlphaTauri,False,2023,Mexico
ZHO,89.482,1.0,1.0,,34.37,24.943,SOFT,Alfa Romeo,False,2023,Spain
NOR,101.712,1.0,1.0,,40.386,33.341,MEDIUM,McLaren,False,2023,United States
OCO,87.129,1.0,1.0,,33.346,24.59,SOFT,Alpine,False,2023,Spain
VER,105.537,1.0,1.0,,41.862,34.041,MEDIUM,Red Bull Racing,False,2023,United States
HUL,103.503,1.0,1.0,,40.665,27.066,HARD,Haas F1 Team,False,2023,Great Britain
RUS,136.894,1.0,1.0,,41.199,52.72,MEDIUM,Mercedes,False,2023,Qatar
HUL,120.092,1.0,1.0,,41.349,46.475,MEDIUM,Haas F1 Team,False,2023,Monaco
OCO,86.639,1.0,1.0,,38.186,21.587,MEDIUM,Alpine,False,2023,Monaco
HUL,87.105,1.0,1.0,,25.855,31.88,MEDIUM,Haas F1 Team,False,2023,Canada
SAR,106.855,1.0,1.0,,45.33,24.706,SOFT,Williams,False,2023,Bahrain
PIA,106.169,1.0,1.0,,41.844,34.467,MEDIUM,McLaren,False,2023,United States
SAI,117.901,1.0,1.0,,51.528,30.52,SOFT,Ferrari,False,2023,Belgium
VER,91.585,1.0,1.0,,28.929,30.478,SOFT,Red Bull Racing,False,2023,Netherlands
